7629929	,9007748	,10058647	,11247028	,10324638	,11045540	,11442097	,8680565	,8747640	,8677466	,8151903	,9270910	,9795709	,9666943	,10852246	,11641763	,10718608	,9271421	,10459296	,9333867	,6752260	,7605508	,8721422	,10048854	,11383228	,11908545	,11116974	,9589847	,8528420	,8074296	,8340042	,9250595	,10035738	,9522005	,9076875	,9735826	,9601679	,9263988	,8932705	,9656428	,10513025	,9660027	,8477544	,8011076	,8270396	,10189451	,9332085	,8405324	,8804971	,8607338	,
3490327	,4081702	,5789509	,8354171	,10126744	,11572915	,10849701	,7493721	,8746617	,9272955	,6838083	,6440764	,8282461	,9336701	,10127508	,11575970	,9206631	,5520157	,6244660	,6435877	,6361352	,7408644	,8850439	,10043978	,11248309	,12304847	,11908033	,9522255	,8134940	,7674393	,7934988	,8723983	,9841191	,10245729	,9801114	,9405838	,9006460	,9001582	,9200751	,9400190	,10450055	,11171987	,9137276	,7884631	,7418940	,7419718	,6431791	,6166049	,5706781	,5443867	,
4210726	,2962704	,2963723	,3358740	,4475689	,6251863	,8025206	,7955052	,7622999	,9272955	,8017480	,5117449	,6633525	,6437939	,7164487	,8549483	,6053696	,4148757	,4605974	,4278550	,5062937	,5322518	,6237710	,7287064	,8342601	,9859702	,9395809	,7673873	,7934988	,8067091	,7805459	,8205632	,8800080	,9392217	,9140868	,8747135	,9204865	,9074306	,8220526	,7166801	,6966601	,6309706	,3813422	,3152662	,5906727	,5771291	,5707033	,5904418	,5379097	,5575706	,
10256537	,8086638	,5459780	,3818529	,3094541	,2833164	,3227673	,4476208	,4934190	,6115904	,7754322	,5971485	,5575945	,7086363	,7614499	,5844771	,4925979	,4467468	,4338962	,3947803	,3751956	,3819032	,3622427	,3753239	,4145677	,4603158	,4470036	,4795921	,5385237	,5909275	,6564382	,6894125	,7550777	,7352885	,6308677	,5456442	,5126202	,4666424	,4273196	,3287070	,3484960	,3943718	,4991528	,4791069	,5511202	,5248028	,4788759	,5774122	,5576736	,5640986	,
11375281	,11507890	,10062493	,8679813	,6311247	,4407596	,3553817	,3161361	,3293462	,3557398	,4279081	,5392696	,5386789	,6168094	,6695208	,6697778	,6103582	,5705475	,6230277	,6500650	,6310463	,5123354	,4925712	,4601113	,4274971	,3618830	,3225876	,2898965	,2833172	,3093779	,2830864	,2829839	,2762518	,2236436	,3088922	,3285014	,2236435	,4078380	,5522754	,3419427	,2960159	,4070427	,5969183	,5903390	,5379357	,5509660	,5313821	,5576223	,5576223	,6234663	,
11045801	,10127769	,10654632	,9336464	,8280175	,7358311	,6900054	,4932660	,3948833	,3555607	,3359767	,3426325	,4017438	,4802077	,5714974	,6102038	,5836807	,5901062	,6425345	,6493191	,6298136	,5835529	,6686980	,9065304	,10193301	,9467773	,7950933	,5841942	,5646865	,4861722	,3813399	,3025163	,2301967	,1841678	,2759957	,4733998	,5918539	,5063232	,3747621	,3945260	,4339758	,5125424	,6171440	,5709862	,5511453	,4921367	,4331545	,6171944	,7092542	,7818828	,
10259104	,10717351	,11178928	,10917804	,8742268	,7359325	,7361130	,5327426	,3488292	,4208927	,4601626	,4078878	,3424020	,3293462	,3820572	,4475929	,4931351	,5648671	,5906199	,5966080	,5572610	,5048321	,5966080	,8732226	,11242652	,11443631	,9989504	,9322049	,9642262	,9908527	,8929607	,8008754	,8206133	,6242623	,6179653	,6179653	,4534830	,2629392	,2629398	,2826266	,4006694	,5120813	,5643566	,5248808	,5445157	,4920860	,4528159	,7290685	,8735059	,9521493	,
10453411	,10982319	,9995672	,8810118	,9204876	,9403536	,7102823	,4474425	,3552034	,5184788	,6689034	,6298390	,4993571	,4146467	,3882780	,3360021	,3361048	,3951904	,4804908	,5062436	,5643021	,5967364	,6492170	,7745586	,9060429	,9787747	,10642543	,9923702	,9385530	,8858412	,7814974	,7030599	,7621196	,7822684	,7558487	,5257268	,3942693	,3352861	,3090202	,2233878	,4068897	,5118249	,4724776	,4920359	,4526114	,4918301	,4721951	,5576223	,7219516	,8075338	,
9731471	,9469578	,8676476	,6114887	,6574169	,8481153	,8879493	,7763063	,6436921	,6098442	,6556931	,6690325	,6502475	,6638173	,5977915	,4730904	,4209946	,3555866	,3292948	,3360534	,3622939	,4733461	,5257248	,7556167	,8345432	,6827552	,7287603	,5453871	,4337449	,4011304	,3945763	,3486494	,3419932	,2895632	,2632212	,2500624	,2237455	,3024663	,4665131	,4730166	,4332067	,4855077	,4592420	,4460582	,4592422	,4264225	,3737881	,3541011	,5247266	,7022400	,
10323357	,10456736	,6116940	,5592895	,7102813	,7233128	,6574421	,7886171	,8281448	,7484733	,6361101	,5911352	,6507876	,6702173	,6763088	,6165272	,6231304	,6104861	,5194287	,3751196	,2965012	,2637327	,3227669	,3158808	,3286300	,2893083	,2891543	,2498067	,2499348	,2762767	,2632462	,2828309	,2631696	,2827024	,2827543	,2892570	,3417376	,3745824	,6041396	,7418175	,6566200	,5117220	,4394780	,4132120	,3738392	,3476760	,3738906	,3475734	,3410194	,4789025	,
10786218	,11905988	,8026746	,3686944	,4278059	,4474929	,6307905	,5453869	,5121824	,7161670	,7690333	,5786704	,5520191	,5647418	,6302273	,6101021	,6163203	,7147528	,7811126	,6959150	,4727058	,4206876	,3158808	,2041111	,1972499	,2432532	,2828564	,3418136	,5251100	,6105641	,6695717	,6894640	,6967636	,7756644	,6243913	,7691102	,8283497	,5260083	,6371642	,7419967	,9853041	,7947350	,5316646	,4918816	,4198430	,3868436	,3344661	,3410965	,3345690	,3344922	,
6905693	,11313853	,11840448	,8421253	,5196857	,4735279	,5783604	,3291416	,3553048	,3748373	,4343601	,5922902	,6116177	,4726039	,5181449	,5638928	,6294025	,8261132	,7935251	,7872279	,7282203	,9257294	,8076092	,3680546	,3089692	,2891543	,3352861	,3353368	,4990994	,7155239	,8466486	,8800339	,8547962	,6574924	,6634301	,7752794	,5979451	,5786688	,7228233	,8471636	,9855098	,10841993	,10513539	,8075589	,5969184	,5313312	,4262940	,3672086	,3279379	,3410454	,
6116682	,9076872	,11313851	,11115955	,10589854	,8350321	,8285288	,6774099	,3816746	,3093272	,2962453	,2962967	,3226393	,3620123	,3946263	,4272407	,5450262	,6825234	,7743264	,8203307	,8927548	,9978971	,10502212	,7619139	,3748643	,3943722	,3545876	,2891281	,2632213	,3419929	,4666918	,6441284	,5652030	,4597792	,5316131	,4724506	,4993060	,6249280	,9458018	,9848679	,10639735	,11301263	,11699871	,11631515	,9454421	,7282213	,5837344	,4723232	,5117224	,4657702	,
