529701	,529444	,726051	,661028	,595494	,1253175	,3752280	,6251889	,7369077	,7697530	,7500679	,7372953	,8492723	,10860240	,11781075	,9147302	,4408155	,1843758	,1909806	,2107704	,2701387	,3689308	,4479091	,5070709	,4675688	,3622994	,2436913	,1842980	,1316373	,920850	,725012	,856851	,792088	,727073	,662315	,857631	,986643	,462871	,399398	,464946	,659745	,659737	,726045	,595494	,529704	,594459	,594204	,529444	,1187129	,1977150	,
988962	,923424	,857376	,988962	,988962	,857124	,1712176	,3817548	,5922148	,6578019	,6183778	,5791601	,6517904	,7770030	,8490922	,6843260	,3748661	,1448986	,1579291	,1776670	,1579808	,1711655	,1910579	,2371381	,3489357	,4015188	,2963007	,1843492	,1448475	,1184533	,1118740	,1053715	,988953	,1053979	,857378	,923169	,857114	,791575	,922391	,987935	,857376	,791321	,921888	,988453	,923169	,923161	,922390	,923161	,922919	,857116	,
1251358	,1251355	,1316636	,1185054	,1185565	,1382944	,1251104	,1909034	,3750462	,4933966	,4802630	,4211013	,4212057	,4938099	,5396843	,4407882	,2631468	,2236449	,2171430	,2039844	,2236710	,1973792	,1907999	,1776924	,1909285	,2895154	,2632498	,2039844	,1907999	,1842206	,1841693	,1579543	,1645084	,1710618	,1514266	,1514527	,1579812	,1646116	,1514781	,1710367	,1710367	,1710880	,1645856	,1646367	,1449758	,1711647	,1710626	,1645852	,1777700	,1974052	,
2040874	,2040612	,2237221	,2105638	,1974821	,1975078	,2040359	,2106152	,2567218	,3422014	,4210500	,4012609	,3618625	,3882827	,4606296	,4670539	,3289399	,2631981	,2763314	,3027766	,2896951	,3027254	,2829360	,2763054	,2631982	,2763306	,2828847	,2829099	,2500645	,2501163	,2697775	,2631979	,2631981	,2501163	,2632233	,2566186	,2435630	,2304043	,2369577	,2238251	,2238251	,2172457	,1975849	,2173228	,2172974	,2303792	,2304046	,2369836	,2239284	,2238769	,
2633527	,2764597	,2698291	,2500910	,2567215	,2567216	,2501425	,2500910	,2501941	,2764343	,3882049	,5197138	,4935506	,4540495	,6055284	,6975876	,5988970	,4013121	,3158326	,3093559	,3158840	,3488060	,3356731	,3487809	,4474451	,3751490	,2698801	,2567216	,2370607	,2370866	,2370868	,2764597	,2698804	,2567216	,2698542	,2436146	,2371127	,2370353	,2435629	,2303531	,2041642	,2303792	,2107445	,2041905	,2238251	,2107443	,2173751	,2041388	,2173236	,2172986	,
2634042	,2567994	,2304822	,2370355	,2435630	,2435632	,2303792	,2304560	,2435117	,2435119	,3226426	,5723989	,6842983	,6842474	,7173506	,8886193	,8756147	,7041920	,4934483	,3947069	,3289650	,3289902	,4012870	,6318207	,8030634	,5267316	,2502963	,2041642	,2238251	,2369579	,2042152	,2239021	,2369837	,2303784	,2107947	,2043192	,1976888	,2107443	,1844784	,1713200	,1647923	,1582132	,1451581	,1517638	,1647923	,1581352	,1582132	,1517367	,1517628	,1451071	,
2106932	,1910066	,1844273	,1844526	,1712425	,1844013	,1778220	,1712423	,1974566	,1711906	,2567216	,5460819	,7434347	,8289916	,8948377	,10990541	,11322325	,10599368	,8884383	,5855074	,3159095	,2631209	,6315635	,11058901	,10338267	,5597572	,2042155	,1777187	,1908259	,1908258	,1843231	,1777953	,1777699	,1646114	,1647405	,1387067	,1254705	,1515306	,1187632	,795191	,992060	,926267	,794942	,925497	,1055786	,1317164	,1252144	,925752	,860224	,991559	,
1251882	,1251621	,1185828	,1120803	,1252134	,1054757	,1120035	,1186079	,1251356	,923673	,1644574	,4145470	,7237482	,8225154	,9278104	,11319496	,12306397	,12702436	,11914460	,9083559	,5789792	,4012095	,7831194	,10669031	,9155792	,4083311	,1251356	,1250845	,1120793	,857368	,1119512	,923160	,1055260	,989213	,925481	,467507	,597551	,596524	,465715	,530990	,662067	,203581	,465718	,661038	,333102	,399931	,333878	,334130	,399671	,269376	,
725532	,659739	,594457	,660252	,726045	,594459	,593944	,725014	,528149	,724754	,658959	,2368556	,6053985	,8027510	,8554117	,10069687	,12174813	,11979740	,11978202	,10931156	,8952746	,6978437	,8234941	,7775683	,4085881	,1186856	,789518	,659218	,855571	,659218	,594966	,661014	,661280	,530982	,333854	,332061	,396825	,333865	,202544	,267559	,268337	,202025	,135460	,201506	,136750	,201517	,333110	,332602	,71233	,6741	,
593174	,462358	,462358	,397078	,462871	,528151	,593428	,527633	,461840	,527373	,658189	,1250329	,4473673	,7501683	,8027259	,8883092	,11189458	,11846616	,9545152	,8562618	,8957116	,9220537	,9417667	,8428973	,4741485	,2500914	,856849	,658189	,592396	,527886	,594966	,464663	,464149	,202779	,334116	,267300	,268072	,73013	,202797	,5935	,72508	,202027	,135983	,202544	,137012	,465476	,202569	,397892	,201273	,202321	,
