1250319	,1316112	,1316112	,1381648	,1250319	,1381905	,1382418	,1382418	,1382418	,1447698	,1447441	,1381649	,856847	,1708814	,6034703	,8786699	,11148047	,11934479	,11933706	,11737867	,11870482	,11019286	,10757401	,10560279	,9837327	,9509389	,9115916	,8852488	,9312009	,9378058	,9380113	,9379858	,9643289	,9577239	,9184537	,8922905	,9122595	,8462355	,9055260	,8661788	,8403240	,8142638	,8004118	,8592147	,8920078	,8395275	,8003600	,7675668	,7674385	,7937557	,
1184526	,1381648	,1447185	,1316112	,1382161	,1447698	,1447954	,1579284	,1513491	,1447698	,1185040	,1250577	,2299152	,5969167	,11080974	,11932940	,12918033	,13116181	,12459536	,12133144	,11805206	,11347737	,10951698	,10754573	,9968912	,10099984	,10036759	,9840924	,10433577	,10434600	,10173485	,10237737	,10040873	,9841950	,9777953	,9715244	,9449763	,9450020	,8990755	,8597538	,7940377	,9712675	,9712420	,9510674	,8788493	,8330511	,7544337	,7414036	,7741974	,7608080	,
1381905	,1316113	,1381906	,1513234	,1513747	,1382419	,1513491	,1710613	,1381908	,1120018	,1447440	,4790290	,9771025	,12391695	,12851215	,12918547	,13181461	,12789275	,12526104	,12396317	,12069664	,11543835	,11153958	,11288114	,10698033	,10632496	,10699312	,10434343	,10831926	,9976618	,10039845	,9973793	,9841951	,9971223	,10037531	,9710877	,9316637	,9381659	,8592146	,8133906	,10240818	,11160120	,10827557	,9579808	,8922907	,8398362	,7675924	,7150352	,7478802	,8068372	,
1513490	,1447698	,1382163	,1447698	,1447954	,1579284	,1316882	,1316884	,1841684	,5118225	,8328974	,12589074	,12982029	,14162448	,12853270	,12920093	,12988196	,12792359	,12660515	,12663086	,12668226	,12011322	,11554111	,11158323	,10695975	,10564645	,10498595	,10562846	,10498080	,9839637	,10300189	,10168089	,9903891	,10035990	,9906203	,9642261	,9447452	,9115918	,8327692	,9317406	,11028791	,10695718	,10891555	,9644315	,8593941	,8201752	,7743001	,7544338	,7607820	,7541773	,
1513490	,1447955	,1382162	,1382419	,1251347	,1251604	,2169877	,2628114	,7413524	,12524048	,13439755	,13900305	,13441295	,13641757	,13183263	,13254194	,13257280	,13127489	,12734788	,12802382	,12403509	,11613990	,11153184	,10955550	,10627356	,10627868	,10366239	,10629413	,10562847	,10103326	,10433318	,10366755	,10299165	,9971480	,9315864	,9313556	,9378831	,8786183	,8658453	,9844262	,8921358	,10169375	,10761769	,10042414	,9452332	,8203039	,7874328	,7805712	,7869708	,8001037	,
1381905	,1382161	,1316626	,1054481	,2103571	,4856080	,9837585	,10884621	,14359058	,13440271	,14426649	,13575450	,13773600	,13582648	,13783623	,13659487	,13525588	,13328210	,12734533	,12201502	,12069147	,11547173	,11615537	,11418156	,11289913	,10961205	,10432547	,10499627	,10629412	,10298648	,10431518	,10035732	,10165520	,9903117	,9509135	,9180685	,9311243	,8457991	,9447709	,10036756	,10101779	,10955038	,10366238	,9842979	,9188135	,8664359	,8006945	,8331800	,8592916	,9118488	,
1250834	,1514005	,1251090	,4267284	,9379862	,12392462	,14228498	,14489875	,14425111	,14228759	,14037029	,13774372	,14177869	,13851985	,13859181	,13325122	,13122862	,12989220	,12660257	,12401970	,12143680	,11749692	,11552571	,10891812	,10430492	,10364444	,10297109	,10035221	,10231057	,10360847	,10297109	,10033679	,9967373	,9639691	,9377291	,9311757	,9180171	,8590348	,8724242	,9705997	,11415329	,10758170	,10298133	,9510932	,8789266	,8396563	,8728870	,8990759	,9319721	,9314837	,
988946	,5907997	,8594714	,12130833	,14097686	,14819866	,14361113	,14825520	,13904934	,14302773	,13779513	,14446179	,14381157	,13849931	,13388863	,12858920	,12856864	,12926257	,12536640	,12209986	,11617080	,11021089	,10755860	,10427666	,10164495	,10098188	,9967117	,10032652	,10033165	,10032909	,10032651	,9770764	,9639180	,9311243	,9376778	,9442315	,9180427	,8460045	,8200467	,9117196	,9836301	,10033677	,9640462	,8919053	,8460042	,8395022	,8790037	,9448997	,9250844	,9312526	,
7018769	,10950673	,14163480	,14161680	,15477026	,14756645	,14499124	,14236977	,14439756	,14576995	,13853528	,14115414	,13714229	,13514797	,13055016	,12995906	,12667196	,12407365	,11944502	,11478813	,11476502	,10885649	,10228748	,9900810	,9835275	,9638410	,9704715	,9836298	,9704970	,9573897	,9574153	,9443080	,9377546	,9443083	,9312010	,9049353	,8983049	,7934987	,7216141	,8461835	,8853003	,9312012	,8657165	,8460042	,8459529	,8197129	,8853518	,9313814	,10299936	,9640210	,
13244692	,13834515	,14885659	,15349295	,14494498	,14895683	,14436931	,14508117	,14842735	,14245199	,14112331	,13447206	,13452089	,13257793	,12995137	,12868177	,11942190	,11084823	,11017749	,10884877	,10621706	,10227720	,9703686	,9769994	,9573900	,9639435	,9706767	,9707536	,9772557	,9575437	,9575951	,9509903	,9181196	,9181452	,9443597	,8787211	,8327435	,7738125	,8595471	,8859662	,7934983	,8327945	,8328972	,8328458	,8130824	,8459019	,8787211	,9708570	,9577500	,10169124	,
13769237	,15149857	,15154745	,14892856	,14567231	,14635846	,14976381	,14912126	,14240833	,14109251	,13845819	,12925230	,13194827	,13199969	,12336692	,11807008	,11213074	,10622990	,10163724	,10162441	,10162697	,10032394	,9770763	,9640718	,9509903	,9115659	,9050381	,9115661	,9312268	,9115147	,8917770	,8655113	,8261126	,8130312	,7736840	,6884360	,6688007	,7607050	,9186831	,9319437	,7870983	,7474438	,8000008	,7737864	,7934473	,8590088	,8721162	,9114637	,10036510	,9971743	,
15413291	,14491163	,15158596	,14502723	,15036773	,14708833	,14843246	,14375756	,14109507	,13913669	,13653322	,13062986	,12468534	,12271157	,11738901	,11147023	,10688016	,10294539	,10032393	,10032139	,9770507	,9508105	,9442316	,9180684	,8918283	,8523785	,8523530	,8260872	,8195334	,7998470	,7408133	,7342853	,7409414	,7541511	,7869961	,7870986	,7872524	,8989455	,8989451	,9253645	,8135177	,7016711	,7541001	,7540487	,7737610	,8393481	,8655882	,9245964	,9640466	,10956067	,
