4211229	,4409888	,4144931	,4934700	,5393712	,4801572	,3750941	,5328170	,6181169	,4868905	,4276517	,6643001	,5788470	,5591850	,5722928	,5657646	,6117692	,6841666	,6317105	,4803363	,5393709	,4802853	,5329450	,4936482	,5196333	,5197864	,6185270	,6118713	,6511428	,7764302	,7369542	,4997671	,5657392	,6842434	,7696715	,7695706	,5790777	,5396542	,4409142	,5066286	,4869157	,5591601	,5722173	,6776392	,7827539	,5329710	,4673069	,4212784	,5724217	,6709571	,
5658665	,6118697	,6116908	,6312755	,6970434	,5590577	,3947295	,3685150	,4999981	,4145960	,5921834	,6383148	,5788208	,5264166	,5003039	,5198122	,5853500	,5789746	,5726251	,5724206	,5656370	,6183989	,5921082	,5132845	,4343846	,4276507	,4739364	,5394988	,5131052	,5264946	,6381368	,5592369	,4607267	,5922601	,6317355	,4607525	,5791565	,6908227	,6379579	,6443335	,5460029	,6513206	,4870190	,3489315	,4934701	,5857085	,6448709	,5395770	,6509118	,6115649	,
5132849	,4341024	,6052150	,6512184	,6774584	,6974008	,5329450	,4277798	,4804904	,4409896	,5527079	,6249270	,7824203	,6709563	,5201433	,4541732	,5065776	,5328431	,4211747	,4475169	,8153167	,8218958	,5395766	,4934700	,4804134	,4738854	,5460017	,5789232	,4935971	,6051891	,6050877	,4540457	,4410666	,5396271	,6119475	,4739111	,5001261	,7499850	,6907980	,5134390	,5197873	,6316595	,6844230	,4016166	,4804647	,7235913	,7629895	,5593667	,5853759	,5985858	,
6051893	,5196333	,5067565	,4803882	,5790001	,6185519	,4868648	,5001513	,5463069	,5395241	,4409122	,4539430	,7103049	,6117684	,4607519	,4475430	,6381107	,6775865	,6118715	,5985849	,6247488	,6445887	,4278560	,5460532	,5460017	,6053430	,5067316	,4738089	,4475943	,4999980	,5658160	,5328431	,4999462	,5724465	,4934701	,4737322	,4803112	,5331250	,5133107	,4015909	,5001513	,5725220	,5855541	,6906942	,4737319	,5134898	,5725499	,4805173	,4080419	,4803890	,
5328431	,4935217	,4343846	,3026971	,5132077	,5724717	,5987125	,5724719	,5594152	,5527087	,5131818	,4475682	,5135652	,5791541	,5724968	,4475428	,5921069	,6512954	,5592630	,5327665	,4803366	,5133611	,5330224	,6052928	,6249783	,7235137	,5856054	,5000491	,4408606	,6644805	,6776641	,7828815	,6840896	,5724206	,6052668	,5066286	,4868648	,5921336	,6710860	,5331541	,4937790	,4803366	,5789746	,6381107	,5131566	,4411429	,4016417	,4541734	,5000742	,5197864	,
5000232	,6317885	,6711111	,1972750	,5068068	,6188332	,5859627	,5265706	,5265708	,5200944	,5394473	,5000992	,4540191	,5659696	,6185016	,6250299	,5396017	,5789229	,5461045	,5199413	,5789231	,5393452	,4935217	,5789483	,4604708	,5196081	,5525295	,5528110	,5593396	,6578498	,6250550	,6906437	,6117173	,5987637	,6974525	,4605223	,4868899	,5065773	,5066033	,5460532	,5262636	,5788469	,5658926	,4934950	,5067557	,4607267	,5198122	,5131048	,4212007	,5066536	,
3882280	,5132847	,4671018	,2763031	,5528868	,6451753	,5859627	,6120754	,6384181	,5725495	,3750945	,5002283	,7760979	,7367761	,6317886	,7365959	,6118194	,6117935	,3552798	,6055749	,6250281	,6315065	,6185284	,5657123	,5329708	,5789497	,5788719	,5788718	,6577726	,6382134	,5132069	,6049080	,5852718	,5722926	,6249529	,5526324	,5263657	,5262634	,4146725	,5658413	,5657392	,6447688	,6119224	,5262624	,5329448	,5459753	,6182196	,5919277	,5460264	,4409124	,
7040842	,3750691	,4012836	,3683871	,3686173	,5924907	,5200167	,5924408	,5923128	,4934449	,4146463	,4542753	,6514261	,4868923	,5791280	,6776378	,5397535	,5986850	,3950115	,4871493	,6052393	,7039548	,6380353	,4474668	,7766117	,6515793	,6381366	,5395752	,4870447	,6250309	,7170114	,5985597	,4802604	,5000996	,6118975	,7173947	,7172414	,6184007	,3950891	,5130789	,6051880	,6711889	,8752777	,8686459	,5463354	,5526309	,5985846	,5986097	,5920295	,3818013	,
7305038	,3749146	,4144672	,4934698	,3421729	,3686174	,3224096	,5132849	,5264685	,4935989	,4540961	,5527079	,6052918	,4016945	,4277285	,5000742	,5200157	,6118435	,5000485	,4213298	,4277808	,6579517	,5591352	,4541231	,5463362	,5788727	,5656622	,4082464	,5855794	,6709829	,7698007	,6907712	,6313269	,5921065	,4672807	,5792052	,7370825	,4937018	,4805185	,5462064	,5920297	,5528631	,6450525	,6583402	,4868908	,5856568	,5855276	,5790761	,5395241	,4079908	,
2962718	,2433814	,3157787	,3224347	,3356957	,3949086	,4144674	,5723690	,5196333	,4540710	,4410918	,4936492	,5986862	,5592371	,5984817	,5657396	,5198373	,5329197	,7499336	,5986600	,5725236	,6117684	,6249529	,5265700	,5066805	,6051642	,5854765	,5461294	,5723955	,6052404	,5198892	,4278303	,5591091	,7167812	,5986611	,5789229	,6119473	,5724984	,6056539	,7106398	,5264166	,6447161	,7105356	,6973503	,7235128	,7503187	,5596205	,4805159	,5987125	,4802863	,
